ds,y,
2008-04-30,2089,1584.285714
2008-05-01,1898,1510.714286
2008-05-02,1704,1501.142857
2008-05-03,1180,1506
2008-05-04,1126,1513.142857
2008-05-05,1623,1529.857143
2008-05-06,1470,1545.142857
2008-05-07,1574,1550.285714
2008-05-08,1831,1561.571429
2008-05-09,1738,1534.285714
2008-05-10,1230,1496.285714
2008-05-11,1243,1475.571429
2008-05-12,1730,1453.571429
2008-05-13,1506,1447.571429
2008-05-14,1653,1457.428571
2008-05-15,1640,1468.142857
2008-05-16,1472,1460.285714
2008-05-17,1085,1430.857143
2008-05-18,1089,1408.714286
2008-05-19,1688,1393.571429
2008-05-20,1575,1305.142857
2008-05-21,1728,1284.571429
2008-05-22,1585,1243
2008-05-23,1266,1220.857143
2008-05-24,930,1223.428571
2008-05-25,983,1227.571429
2008-05-26,1069,1269.857143
2008-05-27,1431,1311.714286
2008-05-28,1437,1299
2008-05-29,1430,1287.428571
2008-05-30,1284,1271.857143
2008-05-31,959,1219.285714
2008-06-03,1279,1221.571429
2008-06-04,1362,1227
2008-06-05,1342,1232.142857
2008-06-06,1356,1230.428571
2008-06-07,1321,1225
2008-06-08,916,1188.428571
2008-06-09,975,1201.857143
2008-06-10,1317,1258.285714
2008-06-11,1398,1294
2008-06-12,1330,1294
2008-06-13,1318,1299.857143
2008-06-14,1065,1296
2008-06-15,1010,1343.285714
2008-06-16,1370,1353.571429
2008-06-17,1567,1308.857143
2008-06-18,1398,1286.285714
2008-06-19,1371,1270.571429
2008-06-20,1291,1253.571429
2008-06-21,1396,1240.857143
2008-06-22,1082,1200
2008-06-23,1057,1181.285714
2008-06-24,1409,1162.142857
2008-06-25,1288,1139.285714
2008-06-26,1252,1162
2008-06-27,1202,1146
2008-06-28,1110,1114.714286
2008-06-29,951,1106.285714
2008-06-30,923,1181
2008-07-02,1249,1306.714286
2008-07-03,1447,1342
2008-07-04,1140,1327.571429
2008-07-05,983,1360.428571
2008-07-06,1051,1422.714286
2008-07-07,1474,1512.428571
2008-07-08,1803,1478
2008-07-09,1496,1421.571429
2008-07-10,1346,1769.571429
2008-07-11,1370,1864.571429
2008-07-12,1419,1967.142857
2008-08-01,1679,2195.571429
2008-08-02,1233,2352.857143
2008-08-03,1408,2437.285714
2008-08-04,3932,2500
2008-08-05,2011,2220.857143
2008-08-06,2088,2192
2008-08-07,3018,2120.571429
2008-08-08,2780,1919.714286
2008-08-09,1824,1734.571429
2008-08-10,1847,1680.285714
2008-08-11,1978,1648.285714
2008-08-12,1809,1628.428571
2008-08-13,1588,1758.857143
2008-08-14,1612,1854.857143
2008-08-15,1484,1930.857143
2008-08-16,1444,2012.714286
2008-08-17,1623,2047.428571
2008-08-18,1839,2095.285714
2008-08-19,2722,2237
2008-08-20,2260,2195.285714
2008-08-21,2144,2301.428571
2008-08-22,2057,2340.571429
2008-08-23,1687,2407
2008-08-24,1958,2428.142857
2008-08-25,2831,2441.857143
2008-08-26,2430,2405.857143
2008-08-27,3003,2469.857143
2008-08-28,2418,2371.142857
2008-08-29,2522,2487.428571
2008-08-30,1835,2679.428571
2008-08-31,2054,2755.571429
2008-09-01,2579,2970.714286
2008-09-02,2878,4136.571429
2008-09-03,2312,4322.857143
2008-09-04,3232,4352
2008-09-05,3866,4242
2008-09-06,2368,4044.285714
2008-09-07,3560,3978.857143
2008-09-08,10740,4212.142857
2008-09-09,4182,3202.142857
2008-09-10,2516,3067.714286
2008-09-11,2462,3053.857143
2008-09-12,2482,3008.571429
2008-09-13,1910,2951.142857
2008-09-14,5193,2949.857143
2008-09-15,3670,2754.428571
2008-09-16,3241,2807.285714
2008-09-17,2419,2827.714286
2008-09-18,2145,2799.571429
2008-09-19,2080,2797.428571
2008-09-20,1901,2765.571429
2008-09-21,3825,2889.428571
2008-09-22,4040,2736.714286
2008-09-23,3384,2600.142857
2008-09-24,2222,2440.428571
2008-09-25,2130,2436.714286
2008-09-26,1857,2378
2008-09-27,2768,2344.428571
2008-09-28,2756,2170.428571
2008-09-29,3084,2248
2008-09-30,2266,2305.428571
2008-10-01,2196,2395.428571
2008-10-02,1719,2456.714286
2008-10-03,1622,2506.857143
2008-10-04,1550,2557.142857
2008-10-05,3299,2556.285714
2008-10-06,3486,2593.571429
2008-10-07,2896,2694.428571
2008-10-08,2625,2966.571429
2008-10-09,2070,2966.857143
2008-10-10,1974,2992.142857
2008-10-11,1544,2966
2008-10-12,3560,2973.571429
2008-10-13,4192,2924.285714
2008-10-14,4801,2827.857143
2008-10-15,2627,2423.285714
2008-10-16,2247,2335.571429
2008-10-17,1791,2219.285714
2008-10-18,1597,2406.714286
2008-10-19,3215,2653.571429
2008-10-20,3517,3148.571429
2008-10-23,1969,2976.857143
2008-10-24,2013,2949
2008-10-25,1433,2883
2008-10-26,3103,2878.857143
2008-10-27,3325,2835.857143
2008-10-28,6680,3560.428571
2008-10-29,2315,3049.857143
2008-10-30,1774,2954.285714
2008-10-31,1551,3115.714286
2008-11-01,1404,3231.857143
2008-11-02,2802,3282.285714
2008-11-03,8397,3320.857143
2008-11-04,3106,3004.428571
2008-11-05,1646,2960.571429
2008-11-06,2904,3030.142857
2008-11-07,2364,2895.142857
2008-11-08,1757,2876.285714
2008-11-09,3072,2828.714286
2008-11-10,6182,2836
2008-11-11,2799,2420.428571
2008-11-12,2133,2358
2008-11-13,1959,2310.714286
2008-11-14,2232,2303
2008-11-15,1424,2241.714286
2008-11-16,3123,2252.428571
2008-11-17,3273,2206.857143
2008-11-18,2362,2966.857143
2008-11-19,1802,3146.571429
2008-11-20,1905,3152.428571
2008-11-21,1803,3152.142857
2008-11-22,1499,3214.428571
2008-11-23,2804,3287.428571
2008-11-24,8593,3588.285714
2008-11-25,3620,2930.857143
2008-11-26,1843,2797
2008-11-27,1903,2879
2008-11-28,2239,2908.857143
2008-11-29,2010,2877.428571
2008-11-30,4910,2856.714286
2008-12-01,3991,2692
2008-12-02,2683,2550.571429
2008-12-03,2417,2537
2008-12-04,2112,2506.285714
2008-12-05,2019,2488.857143
2008-12-06,1865,2527.428571
2008-12-07,3757,2483.571429
2008-12-08,3001,2386.285714
2008-12-09,2588,2589.285714
2008-12-10,2202,2576.571429
2008-12-11,1990,2726.428571
2008-12-12,2289,2781
2008-12-13,1558,3302.142857
2008-12-14,3076,3410.285714
2008-12-15,4422,3380.285714
2008-12-16,2499,3543.857143
2008-12-17,3251,3611.285714
2008-12-18,2372,3438.285714
2008-12-19,5937,3340.714286
2008-12-20,2315,2741.428571
2008-12-21,2866,2656.142857
2008-12-22,5567,2794.285714
2008-12-23,2971,2741
2008-12-24,2040,2900.571429
2008-12-25,1689,3189.714286
2008-12-26,1742,3283
2008-12-27,1718,3989.714286
2008-12-28,3833,5052
2008-12-29,5194,8174.285714
2008-12-30,4088,8945.428571
2008-12-31,4064,9018.857143
2009-01-01,2342,8927
2009-01-02,6689,9037.857143
2009-01-03,9154,8617.714286
2009-01-04,25689,7800.428571
2009-01-05,10592,5566.714286
2009-01-06,4602,4939.714286
2009-01-07,3421,4991.571429
2009-01-08,3118,4975.428571
2009-01-09,3748,4935.142857
2009-01-10,3433,4767
2009-01-11,10053,4578.571429
2009-01-12,6203,3587.571429
2009-01-13,4965,3650.142857
2009-01-14,3308,3300
2009-01-15,2836,3168.285714
2009-01-16,2571,3162.285714
2009-01-17,2114,3101.857143
2009-01-18,3116,3030.857143
2009-01-19,6641,2847
2009-01-20,2514,2202.428571
2009-01-21,2386,2188.285714
2009-01-22,2794,2198.857143
2009-01-23,2148,2157.142857
2009-01-24,1617,2238.142857
2009-01-25,1829,2323.285714
2009-01-26,2129,2748.571429
2009-01-27,2415,3788.714286
2009-01-28,2460,3896.857143
2009-01-29,2502,4000.571429
2009-01-30,2715,4095.142857
2009-01-31,2213,4154.714286
2009-02-01,4806,4174.285714
2009-02-02,9410,3957.285714
2009-02-03,3172,3046.714286
2009-02-04,3186,2883.857143
2009-02-05,3164,2792.571429
2009-02-06,3132,2678.428571
2009-02-07,2350,2497.285714
2009-02-08,3287,2380
2009-02-09,3036,2106.428571
2009-02-10,2032,1910.285714
2009-02-11,2547,1860.142857
2009-02-12,2365,1729.428571
2009-02-13,1864,1648.714286
2009-02-14,1529,1616
2009-02-15,1372,1555.571429
2009-02-16,1663,1535.857143
2009-02-17,1681,1552.428571
2009-02-18,1632,1589.714286
2009-02-19,1800,1656.142857
2009-02-20,1635,1650.714286
2009-02-21,1106,1668.428571
2009-02-22,1234,1704
2009-02-23,1779,1748.571429
2009-02-24,1942,1748.142857
2009-02-25,2097,1707
2009-02-26,1762,1641.857143
2009-02-27,1759,1636.571429
2009-02-28,1355,1624.571429
2009-03-01,1546,1601.571429
2009-03-02,1776,1574.142857
2009-03-03,1654,1544.142857
2009-03-04,1641,1520.285714
2009-03-05,1725,1535.428571
2009-03-06,1675,1662.571429
2009-03-07,1194,1624.142857
2009-03-08,1354,1623
2009-03-09,1566,1625
2009-03-10,1487,1620.142857
2009-03-11,1747,1617.571429
2009-03-12,2615,1579.285714
2009-03-13,1406,1413.714286
2009-03-14,1186,1424.714286
2009-03-15,1368,1422
2009-03-16,1532,1414.428571
2009-03-17,1469,1455.285714
2009-03-18,1479,1621.142857
2009-03-19,1456,1689.285714
2009-03-20,1483,1707.428571
2009-03-21,1167,1698.142857
2009-03-22,1315,1697.142857
2009-03-23,1818,1768.285714
2009-03-24,2630,1752.571429
2009-03-25,1956,1630.428571
2009-03-26,1583,1604.714286
2009-03-27,1418,1641.857143
2009-03-28,1160,1742.285714
2009-03-29,1813,1776.571429
2009-03-30,1708,1715.285714
2009-03-31,1775,1691.857143
2009-04-01,1776,1677
2009-04-02,1843,1679.571429
2009-04-03,2121,1631
2009-04-04,1400,1508.428571
2009-04-05,1384,1466.571429
2009-04-06,1544,1439.857143
2009-04-07,1671,1431.714286
2009-04-08,1794,1420.857143
2009-04-09,1503,1426.142857
2009-04-10,1263,1474.285714
2009-04-11,1107,1521.571429
2009-04-12,1197,1543.857143
2009-04-13,1487,1557
2009-04-14,1595,1599
2009-04-15,1831,1632.714286
2009-04-16,1840,1615.571429
2009-04-17,1594,1604.428571
2009-04-18,1263,1683.428571
2009-04-19,1289,1866.714286
2009-04-20,1781,2077.285714
2009-04-21,1831,2181.571429
2009-04-22,1711,2201.714286
2009-04-23,1762,2251.428571
2009-04-24,2147,2318.285714
2009-04-25,2546,2276.857143
2009-04-26,2763,2103.285714
2009-04-27,2511,1911.285714
2009-04-28,1972,1799.285714
2009-04-29,2059,1771.142857
2009-04-30,2230,1751
2009-05-01,1857,1676.857143
2009-05-02,1331,1631.142857
2009-05-03,1419,1620.428571
2009-05-04,1727,1588.285714
2009-05-05,1775,1547.285714
2009-05-06,1918,1554.857143
2009-05-07,1711,1538.857143
2009-05-08,1537,1538.714286
2009-05-09,1256,1553.571429
2009-05-10,1194,1518.285714
2009-05-11,1440,1500.857143
2009-05-12,1828,1549
2009-05-13,1806,1524.857143
2009-05-14,1710,1494.142857
2009-05-15,1641,1468.571429
2009-05-16,1009,1466.714286
2009-05-17,1072,1485
2009-05-18,1777,1470
2009-05-19,1659,1370.428571
2009-05-20,1591,1380.571429
2009-05-21,1531,1410.285714
2009-05-22,1628,1409.714286
2009-05-23,1137,1351.142857
2009-05-24,967,1344.428571
2009-05-25,1080,1352.428571
2009-05-26,1730,1393
2009-05-27,1799,1398
2009-05-28,1527,1366.571429
2009-05-29,1218,1347.571429
2009-05-30,1090,1387
2009-05-31,1023,1411.285714
2009-06-01,1364,1417.571429
2009-06-02,1765,1411.857143
2009-06-03,1579,1378.714286
2009-06-04,1394,1372
2009-06-05,1494,1414.285714
2009-06-06,1260,1432.571429
2009-06-07,1067,1403.285714
2009-06-08,1324,1411
2009-06-09,1533,1415.857143
2009-06-10,1532,1457.714286
2009-06-11,1690,1456.428571
2009-06-12,1622,1472.428571
2009-06-13,1055,1432.142857
2009-06-14,1121,1451.857143
2009-06-15,1358,1473.571429
2009-06-16,1826,1482
2009-06-17,1523,1412.142857
2009-06-18,1802,1403.714286
2009-06-19,1340,1324.428571
2009-06-20,1193,1303.142857
2009-06-21,1273,1263.857143
2009-06-22,1417,1230.714286
2009-06-23,1337,1203.571429
2009-06-24,1464,1203.857143
2009-06-25,1247,1209.857143
2009-06-26,1191,1204.571429
2009-06-27,918,1198.285714
2009-06-28,1041,1279.571429
2009-06-29,1227,1477.285714
2009-06-30,1339,1652.571429
2009-07-01,1506,1715.285714
2009-07-02,1210,1724
2009-07-03,1147,1811.285714
2009-07-04,1487,1875.428571
2009-07-05,2425,1853.714286
2009-07-06,2454,1703.142857
2009-07-07,1778,1575.428571
2009-07-08,1567,1536.571429
2009-07-09,1821,1557
2009-07-10,1596,1520.428571
2009-07-11,1335,1509.142857
2009-07-12,1371,1512.571429
2009-07-13,1560,1524.857143
2009-07-14,1506,1570.857143
2009-07-15,1710,1607.571429
2009-07-16,1565,1722.285714
2009-07-17,1517,1808.285714
2009-07-18,1359,1916.571429
2009-07-19,1457,1934.571429
2009-07-20,1882,1934.142857
2009-07-21,1763,1919.857143
2009-07-22,2513,1958.857143
2009-07-23,2167,1913.428571
2009-07-24,2275,1872.571429
2009-07-25,1485,1790.428571
2009-07-26,1454,1784.285714
2009-07-27,1782,1800.142857
2009-07-28,2036,1848.142857
2009-07-29,2195,1921.428571
2009-07-30,1881,2223.428571
2009-07-31,1700,2460.571429
2009-08-01,1442,2570.428571
2009-08-02,1565,2642.857143
2009-08-03,2118,2722
2009-08-04,2549,2792
2009-08-05,4309,2770
2009-08-06,3541,2487.714286
2009-08-07,2469,2300.142857
2009-08-08,1949,2471.285714
2009-08-09,2119,2512
2009-08-10,2608,2535.857143
2009-08-11,2395,2575.571429
2009-08-12,2333,2871.142857
2009-08-13,2228,3108.571429
2009-08-14,3667,3210
2009-08-15,2234,3519.857143
2009-08-16,2286,3543.285714
2009-08-17,2886,3560.857143
2009-08-18,4464,3552.285714
2009-08-19,3995,3421.142857
2009-08-20,2938,3202.428571
2009-08-21,5836,3132.428571
2009-08-22,2398,2747
2009-08-23,2409,2819
2009-08-24,2826,2848.428571
2009-08-25,3546,2945.714286
2009-08-26,2464,2882.428571
2009-08-27,2448,2941
2009-08-28,3138,2953.571429
2009-08-29,2902,2895.714286
2009-08-30,2615,2887.571429
2009-08-31,3507,2973.571429
2009-09-01,3103,2891
2009-09-02,2874,2932
2009-09-03,2536,2928.428571
2009-09-04,2733,3041.571429
2009-09-05,2845,3178.428571
2009-09-06,3217,3218.285714
2009-09-07,2929,3831.857143
2009-09-08,3390,4202.857143
2009-09-09,2849,4434.571429
2009-09-10,3328,4459.571429
2009-09-11,3691,4435.285714
2009-09-12,3124,4380.714286
2009-09-13,7512,4357.714286
2009-09-14,5526,3940.428571
2009-09-15,5012,5572.857143
2009-09-16,3024,8624
2009-09-17,3158,8803.571429
2009-09-18,3309,11342.14286
2009-09-19,2963,11779.14286
2009-09-20,4591,11903.57143
2009-09-21,16953,11708.42857
2009-09-22,26370,9793.142857
2009-09-24,4281,6407.142857
2009-09-28,20928,7074.714286
2009-09-29,6368,5823.285714
2009-09-30,3834,6278
2009-10-01,3225,6423.571429
2009-10-02,3546,6618.428571
2009-10-03,2668,6674
2009-10-04,8954,6874.714286
2009-10-05,12168,6534
2009-10-06,9551,8959.285714
2009-10-07,4853,8843.571429
2009-10-08,4589,9007.142857
2009-10-09,3935,9613.857143
2009-10-10,4073,10059.57143
2009-10-11,6569,10211.71429
2009-10-12,29145,9939.571429
2009-10-13,8741,6324.285714
2009-10-17,5998,5550.857143
2009-10-18,8836,5182.285714
2009-10-19,7055,4800.857143
2009-10-20,5138,5490.285714
2009-10-21,4664,5515.571429
2009-10-22,3838,5390
2009-10-23,3327,5323
2009-10-24,3418,5297.714286
2009-10-25,6166,5169.571429
2009-10-26,11881,5333.571429
2009-10-27,5315,4516.142857
2009-10-28,3785,4505.428571
2009-10-29,3369,4494.857143
2009-10-30,3150,4507.142857
2009-10-31,2521,4483.571429
2009-11-01,7314,4468.428571
2009-11-02,6159,4382.714286
2009-11-03,5240,4663
2009-11-04,3711,4685
2009-11-05,3455,4719.428571
2009-11-06,2985,4903.857143
2009-11-07,2415,5175.857143
2009-11-08,6714,5469.428571
2009-11-09,8121,10011.85714
2009-11-10,5394,10162.85714
2009-11-11,3952,10277.57143
2009-11-12,4746,10435.71429
2009-11-13,4889,10463.42857
2009-11-14,4470,10326.42857
2009-11-16,38511,10998.14286
2009-11-17,9178,6261.714286
2009-11-18,6197,5534.428571
2009-11-19,5059,5474
2009-11-20,4940,5826
2009-11-21,3930,5782.428571
2009-11-23,9172,6674.714286
2009-11-24,5356,6872.857143
2009-11-25,4087,7631.571429
2009-11-26,5774,7678.571429
2009-11-27,7523,7618.285714
2009-11-28,4635,7194.142857
2009-11-29,10176,7129
2009-11-30,10559,6904.142857
2009-12-01,10667,6955.571429
2009-12-02,4416,6344
2009-12-03,5352,6420.571429
2009-12-04,4554,6290.857143
2009-12-05,4179,6359.142857
2009-12-06,8602,6384.571429
2009-12-07,10919,6423.714286
2009-12-08,6386,7344
2009-12-09,4952,7510.571429
2009-12-10,4444,7527.142857
2009-12-11,5032,7658.285714
2009-12-12,4357,9510.142857
2009-12-13,8876,9715.571429
2009-12-14,17361,9822.857143
2009-12-15,7552,8758.571429
2009-12-16,5068,9290.714286
2009-12-17,5362,9411.142857
2009-12-18,17995,9349
2009-12-19,5795,7346.714286
2009-12-20,9627,7092.571429
2009-12-21,9911,7079.714286
2009-12-22,11277,7666.142857
2009-12-23,5911,7232.857143
2009-12-24,4927,7322
2009-12-25,3979,7245
2009-12-26,4016,7271.571429
2009-12-27,9537,7425.714286
2009-12-28,14016,6928.285714
2009-12-29,8244,5809.714286
2009-12-30,6535,5252
2009-12-31,4388,4904.285714
2010-01-01,4165,4955
2010-01-02,5095,5133.857143
2010-01-03,6055,5477.571429
2010-01-04,6186,6505.285714
2010-01-05,4340,7049.857143
2010-01-06,4101,7268.714286
2010-01-07,4743,7460.571429
2010-01-08,5417,7570.285714
2010-01-09,7501,7619.428571
2010-01-10,13249,7476.285714
2010-01-11,9998,14205.14286
2010-01-12,5872,15235.42857
2010-01-13,5444,15846.42857
2010-01-14,5511,16247
2010-01-15,5761,16546.57143
2010-01-16,6499,16892
2010-01-17,60351,29842.85714
2010-01-18,17210,25319.57143
2010-01-19,10149,25179.14286
2010-01-20,8248,25527.42857
2010-01-21,7608,25998
2010-01-22,8179,26365.85714
2010-01-25,97155,26766.14286
2010-01-26,28688,16887.71429
2010-01-27,16227,15682.42857
2010-01-28,12587,16882.14286
2010-01-29,11542,17815.71429
2010-01-30,10183,19711.14286
2010-01-31,10981,21404.85714
2010-02-01,28006,30194.42857
2010-02-02,20251,31194.71429
2010-02-03,24625,30528.14286
2010-02-04,19122,28315.14286
2010-02-05,24810,26527.14286
2010-02-06,22039,23649.71429
2010-02-07,72508,21057.28571
2010-02-09,35008,11228.85714
2010-02-10,15585,6770.428571
2010-02-11,9134,4973.285714
2010-02-12,6606,4114
2010-02-13,4668,3566.857143
2010-02-14,3892,3230
2010-02-15,3709,3046.571429
2010-02-16,3799,2918.428571
2010-02-17,3005,2956.571429
2010-02-18,3119,2885.857143
2010-02-19,2776,2815.571429
2010-02-20,2310,2753
2010-02-21,2608,2746.857143
2010-02-22,2812,2714.428571
2010-02-24,4066,2659.714286
2010-02-25,2510,2410.428571
2010-02-26,2627,2507.714286
2010-02-27,2338,3012.428571
2010-02-28,2267,2979.857143
2010-03-01,2381,2942.428571
2010-03-02,2429,2935
2010-03-03,2321,2926.428571
2010-03-04,3191,2889.428571
2010-03-05,6160,2703.428571
2010-03-06,2110,2110.142857
2010-03-07,2005,2089.714286
2010-03-08,2329,2064.428571
2010-03-09,2369,2039.285714
2010-03-10,2062,2020.428571
2010-03-11,1889,2041.857143
2010-03-12,2007,2068.571429
2010-03-13,1967,2056.857143
2010-03-14,1828,2010.428571
2010-03-15,2153,1999
2010-03-16,2237,1980.428571
2010-03-17,2212,2010.142857
2010-03-18,2076,2132.428571
2010-03-19,1925,2161
2010-03-20,1642,2183
2010-03-21,1748,2223.571429
2010-03-22,2023,2228.714286
2010-03-23,2445,2200
2010-03-24,3068,2152
2010-03-25,2276,2002.857143
2010-03-26,2079,1924.428571
2010-03-27,1926,1853.571429
2010-03-28,1784,1824.857143
2010-03-29,1822,1822.857143
2010-03-30,2109,1982.142857
2010-03-31,2024,2037.142857
2010-04-01,1727,2051.285714
2010-04-02,1583,2078.714286
2010-04-03,1725,2131.428571
2010-04-04,1770,2130.714286
2010-04-05,2937,2135.857143
2010-04-06,2494,1978.714286
2010-04-07,2123,1910.285714
2010-04-08,1919,1888.571429
2010-04-09,1952,1923.857143
2010-04-10,1720,1988.428571
2010-04-11,1806,2014.857143
2010-04-12,1837,2042
2010-04-13,2015,2079.142857
2010-04-14,1971,2097.428571
2010-04-15,2166,2184.428571
2010-04-16,2404,2344
2010-04-17,1905,3070.285714
2010-04-18,1996,3432.571429
2010-04-19,2097,3568.285714
2010-04-20,2143,3695.714286
2010-04-21,2580,3847.714286
2010-04-22,3283,3897.857143
2010-04-23,7488,3794
2010-04-24,4441,3068.285714
2010-04-25,2946,2678.285714
2010-04-26,2989,2526.857143
2010-04-27,3207,2397.714286
2010-04-28,2931,2240
2010-04-29,2556,2082.571429
2010-04-30,2408,2025.714286
2010-05-01,1711,2103.857143
2010-05-02,1886,2103.142857
2010-05-03,2085,2063.714286
2010-05-04,2103,2053
2010-05-05,1829,2034.285714
2010-05-06,2158,2064.571429
2010-05-07,2955,1966.857143
2010-05-08,1706,1800.142857
2010-05-09,1610,1762.285714
2010-05-10,2010,1753.857143
2010-05-11,1972,1718.285714
2010-05-12,2041,1660.142857
2010-05-13,1474,1565.428571
2010-05-14,1788,1587.857143
2010-05-15,1441,1584.428571
2010-05-16,1551,1614.571429
2010-05-17,1761,1614.428571
2010-05-18,1565,1598.428571
2010-05-19,1378,1604.857143
2010-05-20,1631,1637.285714
2010-05-21,1764,1596.857143
2010-05-22,1652,1516.857143
2010-05-23,1550,1455.714286
2010-05-24,1649,1399.857143
2010-05-25,1610,1340.285714
2010-05-26,1605,1300.142857
2010-05-27,1348,1271.857143
2010-05-28,1204,1317.571429
2010-05-29,1224,1420.428571
2010-05-30,1159,1487.142857
2010-05-31,1232,1530
2010-06-01,1329,1753.285714
2010-06-02,1407,2743.857143
2010-06-03,1668,2739.142857
2010-06-04,1924,2661.857143
2010-06-05,1691,2515.142857
2010-06-06,1459,2306.714286
2010-06-07,2795,2127.571429
2010-06-08,8263,1755.857143
2010-06-09,1374,653.7142857
2010-06-10,1127,568.1428571
2010-06-11,897,602.2857143
2010-06-12,232,705.1428571
2010-06-13,205,852
2010-06-14,193,986.2857143
2010-06-15,548,1151.285714
2010-06-16,775,1234.428571
2010-06-17,1366,1281.571429
2010-06-18,1617,1230.857143
2010-06-19,1260,1139.428571
2010-06-20,1145,1025.571429
2010-06-21,1348,1054.571429
2010-06-22,1130,1041.714286
2010-06-23,1105,1045.714286
2010-06-24,1011,1063.142857
2010-06-25,977,1064.285714
2010-06-27,463,1054.857143
2010-06-29,1348,1212.142857
2010-06-30,1258,1198.285714
2010-07-01,1158,1187.857143
2010-07-02,1227,1222
2010-07-03,1019,1247.285714
2010-07-04,911,1400.714286
2010-07-06,1564,1517.857143
2010-07-11,1251,1508
2010-07-12,1185,1528
2010-07-13,1397,1565
2010-07-14,1404,1615.857143
2010-07-15,2093,1661.142857
